case_id;activity;activity_grouped;activity_to;timestamp;timestamp_to;duration;duration_idle;event_number;activity_duration;duration_at_start;activity_cost;automated;is_rework;is_loop;is_self_loop;is_loop_or_self_loop;user_name;changed_field;changed_from;changed_to
3-1;Lehne Wareneingang ab;Wareneingang erfasst;Erfasse Rechnung;2023-01-11T14:04:34.000Z;2023-01-16T11:58:10.000Z;424416000;424416000;5;0;176299000;0;0;0;0;0;0;Andreas Schulz;null;null;null
3-1;Erfasse Rechnung;;Gleiche Rechnung aus;2023-01-16T11:58:10.000Z;2023-01-16T11:58:10.000Z;0;0;6;0;600715000;0;0;0;0;0;0;null;null;null;null
3-1;Gleiche Rechnung aus;;End;2023-01-16T11:58:10.000Z;2023-01-16T11:58:10.000Z;0;0;7;0;600715000;0;0;0;0;0;0;null;null;null;null
3-2;Start;;Lege Bestellposition an;2023-01-09T13:06:15.000Z;2023-01-09T13:06:15.000Z;0;0;1;0;0;0;;0;0;0;0;
3-2;Lege Bestellposition an;;Erteile Genehmigung Level 1;2023-01-09T13:06:15.000Z;2023-01-10T14:10:28.000Z;90253000;90253000;2;0;0;0;0;0;0;0;0;Thomas Becker;null;null;null
3-2;Erteile Genehmigung Level 1;Erteile Genehmigung;Lehne Wareneingang ab;2023-01-10T14:10:28.000Z;2023-01-11T09:15:57.000Z;68729000;68729000;3;0;90253000;0;0;0;0;0;0;Maria Schmidt;null;null;null
3-2;Lehne Wareneingang ab;Wareneingang erfasst;Erfasse Rechnung;2023-01-11T09:15:57.000Z;2023-01-16T11:58:10.000Z;441733000;441733000;4;0;158982000;0;0;0;0;0;0;Michael Schmidt;null;null;null
3-2;Erfasse Rechnung;;Gleiche Rechnung aus;2023-01-16T11:58:10.000Z;2023-01-16T11:58:10.000Z;0;0;5;0;600715000;0;0;0;0;0;0;null;null;null;null
3-2;Gleiche Rechnung aus;;End;2023-01-16T11:58:10.000Z;2023-01-16T11:58:10.000Z;0;0;6;0;600715000;0;0;0;0;0;0;null;null;null;null
4-1;Start;;Lege Bestellposition an;2023-01-12T12:35:38.000Z;2023-01-12T12:35:38.000Z;0;0;1;0;0;0;;0;0;0;0;
4-1;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-12T12:35:38.000Z;2023-01-13T12:41:52.000Z;86774000;86774000;2;0;0;0;0;0;0;0;0;Maria Fischer;null;null;null
4-1;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Fordere Genehmigung Level 2 an;2023-01-13T12:41:52.000Z;2023-01-13T15:02:46.000Z;8454000;8454000;3;0;86774000;0;0;0;0;0;0;Anna Weber;null;null;null
4-1;Fordere Genehmigung Level 2 an;Fordere Genehmigung an;Ändere Bestellposition: Material;2023-01-13T15:02:46.000Z;2023-01-15T12:35:38.000Z;163972000;163972000;4;0;95228000;0;0;0;0;0;0;Andreas Wagner;null;null;null
4-1;Ändere Bestellposition: Material;Ändere Bestellposition;End;2023-01-15T12:35:38.000Z;2023-01-15T12:35:38.000Z;0;0;5;0;259200000;0;0;0;0;0;0;Klaus Meyer;Material;17;58
4-2;Start;;Lege Bestellposition an;2023-01-12T12:35:38.000Z;2023-01-12T12:35:38.000Z;0;0;1;0;0;0;;0;0;0;0;
4-2;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-12T12:35:38.000Z;2023-01-13T12:41:52.000Z;86774000;86774000;2;0;0;0;0;0;0;0;0;Maria Fischer;null;null;null
4-2;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Fordere Genehmigung Level 2 an;2023-01-13T12:41:52.000Z;2023-01-13T15:02:46.000Z;8454000;8454000;3;0;86774000;0;0;0;0;0;0;Anna Weber;null;null;null
4-2;Fordere Genehmigung Level 2 an;Fordere Genehmigung an;Ändere Bestellposition: Menge;2023-01-13T15:02:46.000Z;2023-01-17T12:35:38.000Z;336772000;336772000;4;0;95228000;0;0;0;0;0;0;Andreas Wagner;null;null;null
4-2;Ändere Bestellposition: Menge;Ändere Bestellposition;End;2023-01-17T12:35:38.000Z;2023-01-17T12:35:38.000Z;0;0;5;0;432000000;0;0;0;0;0;0;Martin Schulz;Quantity;6;6
5-1;Start;;Erteile Genehmigung Level 1;2023-01-16T11:34:41.000Z;2023-01-16T11:34:41.000Z;0;0;1;0;0;0;;0;0;0;0;
5-1;Erteile Genehmigung Level 1;Erteile Genehmigung;Lege Bestellposition an;2023-01-16T11:34:41.000Z;2023-01-16T14:27:22.000Z;10361000;10361000;2;0;0;0;0;0;0;0;0;Anna Fischer;null;null;null
5-1;Lege Bestellposition an;;Ändere Bestellposition: Preis;2023-01-16T14:27:22.000Z;2023-01-17T14:27:22.000Z;86400000;86400000;3;0;10361000;0;0;0;0;0;0;Martin Meyer;null;null;null
5-1;Ändere Bestellposition: Preis;Ändere Bestellposition;Lehne Wareneingang ab;2023-01-17T14:27:22.000Z;2023-01-19T12:40:17.000Z;166375000;166375000;4;0;96761000;0;0;0;0;0;0;Thomas Mueller;Price;573.91;390.46
5-1;Lehne Wareneingang ab;Wareneingang erfasst;Ändere Bestellung: Währung;2023-01-19T12:40:17.000Z;2023-01-19T14:27:22.000Z;6425000;6425000;5;0;263136000;0;0;0;0;0;0;Klaus Meyer;null;null;null
5-1;Ändere Bestellung: Währung;Ändere Bestellung;Erfasse Rechnung;2023-01-19T14:27:22.000Z;2023-01-30T15:32:52.000Z;954330000;954330000;6;0;269561000;0;0;0;0;0;0;Martin Mueller;Currency;USD;EUR
5-1;Erfasse Rechnung;;End;2023-01-30T15:32:52.000Z;2023-01-30T15:32:52.000Z;0;0;7;0;1223891000;0;0;0;0;0;0;null;null;null;null
5-2;Start;;Erteile Genehmigung Level 1;2023-01-16T11:34:41.000Z;2023-01-16T11:34:41.000Z;0;0;1;0;0;0;;0;0;0;0;
5-2;Erteile Genehmigung Level 1;Erteile Genehmigung;Lege Bestellposition an;2023-01-16T11:34:41.000Z;2023-01-16T14:27:22.000Z;10361000;10361000;2;0;0;0;0;0;0;0;0;Anna Fischer;null;null;null
5-2;Lege Bestellposition an;;Lehne Wareneingang ab;2023-01-16T14:27:22.000Z;2023-01-19T10:42:14.000Z;245692000;245692000;3;0;10361000;0;0;0;0;0;0;Martin Meyer;null;null;null
5-2;Lehne Wareneingang ab;Wareneingang erfasst;Ändere Bestellung: Währung;2023-01-19T10:42:14.000Z;2023-01-19T14:27:22.000Z;13508000;13508000;4;0;256053000;0;0;0;0;0;0;Anna Becker;null;null;null
5-2;Ändere Bestellung: Währung;Ändere Bestellung;Erfasse Rechnung;2023-01-19T14:27:22.000Z;2023-01-30T15:32:52.000Z;954330000;954330000;5;0;269561000;0;0;0;0;0;0;Martin Mueller;Currency;USD;EUR
5-2;Erfasse Rechnung;;End;2023-01-30T15:32:52.000Z;2023-01-30T15:32:52.000Z;0;0;6;0;1223891000;0;0;0;0;0;0;null;null;null;null
5-3;Start;;Erteile Genehmigung Level 1;2023-01-16T11:34:41.000Z;2023-01-16T11:34:41.000Z;0;0;1;0;0;0;;0;0;0;0;
5-3;Erteile Genehmigung Level 1;Erteile Genehmigung;Lege Bestellposition an;2023-01-16T11:34:41.000Z;2023-01-16T14:27:22.000Z;10361000;10361000;2;0;0;0;0;0;0;0;0;Anna Fischer;null;null;null
5-3;Lege Bestellposition an;;Lehne Wareneingang ab;2023-01-16T14:27:22.000Z;2023-01-19T14:23:13.000Z;258951000;258951000;3;0;10361000;0;0;0;0;0;0;Martin Meyer;null;null;null
5-3;Lehne Wareneingang ab;Wareneingang erfasst;Ändere Bestellung: Währung;2023-01-19T14:23:13.000Z;2023-01-19T14:27:22.000Z;249000;249000;4;0;269312000;0;0;0;0;0;0;Michael Becker;null;null;null
5-3;Ändere Bestellung: Währung;Ändere Bestellung;Erfasse Rechnung;2023-01-19T14:27:22.000Z;2023-01-30T15:32:52.000Z;954330000;954330000;5;0;269561000;0;0;0;0;0;0;Martin Mueller;Currency;USD;EUR
5-3;Erfasse Rechnung;;End;2023-01-30T15:32:52.000Z;2023-01-30T15:32:52.000Z;0;0;6;0;1223891000;0;0;0;0;0;0;null;null;null;null
5-4;Start;;Erteile Genehmigung Level 1;2023-01-16T11:34:41.000Z;2023-01-16T11:34:41.000Z;0;0;1;0;0;0;;0;0;0;0;
5-4;Erteile Genehmigung Level 1;Erteile Genehmigung;Lege Bestellposition an;2023-01-16T11:34:41.000Z;2023-01-16T14:27:22.000Z;10361000;10361000;2;0;0;0;0;0;0;0;0;Anna Fischer;null;null;null
5-4;Lege Bestellposition an;;Ändere Bestellung: Währung;2023-01-16T14:27:22.000Z;2023-01-19T14:27:22.000Z;259200000;259200000;3;0;10361000;0;0;0;0;0;0;Martin Meyer;null;null;null
5-4;Ändere Bestellung: Währung;Ändere Bestellung;Erfasse Wareneingang;2023-01-19T14:27:22.000Z;2023-01-23T10:05:22.000Z;329880000;329880000;4;0;269561000;0;0;0;0;0;0;Martin Mueller;Currency;USD;EUR
5-4;Erfasse Wareneingang;Wareneingang erfasst;Erfasse Rechnung;2023-01-23T10:05:22.000Z;2023-01-30T15:32:52.000Z;624450000;624450000;5;0;599441000;0;0;0;0;0;0;Klaus Meyer;null;null;null
5-4;Erfasse Rechnung;;End;2023-01-30T15:32:52.000Z;2023-01-30T15:32:52.000Z;0;0;6;0;1223891000;0;0;0;0;0;0;null;null;null;null
6-1;Start;;Lege Bestellposition an;2023-01-17T11:27:57.000Z;2023-01-17T11:27:57.000Z;0;0;1;0;0;0;;0;0;0;0;
6-1;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-17T11:27:57.000Z;2023-01-18T13:34:02.000Z;93965000;93965000;2;0;0;0;0;0;0;0;0;Michael Hoffmann;null;null;null
6-1;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Fordere Genehmigung Level 2 an;2023-01-18T13:34:02.000Z;2023-01-18T14:52:59.000Z;4737000;4737000;3;0;93965000;0;0;0;0;0;0;Andreas Wagner;null;null;null
6-1;Fordere Genehmigung Level 2 an;Fordere Genehmigung an;Ändere Bestellposition: Preis;2023-01-18T14:52:59.000Z;2023-01-22T11:27:57.000Z;333298000;333298000;4;0;98702000;0;0;0;0;0;0;Klaus Meyer;null;null;null
6-1;Ändere Bestellposition: Preis;Ändere Bestellposition;Lehne Wareneingang ab;2023-01-22T11:27:57.000Z;2023-01-23T08:14:35.000Z;74798000;74798000;5;0;432000000;0;0;0;0;0;0;Thomas Weber;Price;190.64;227.11
6-1;Lehne Wareneingang ab;Wareneingang erfasst;Erfasse Rechnung;2023-01-23T08:14:35.000Z;2023-01-30T14:59:18.000Z;629083000;629083000;6;0;506798000;0;0;0;0;0;0;Michael Schmidt;null;null;null
6-1;Erfasse Rechnung;;End;2023-01-30T14:59:18.000Z;2023-01-30T14:59:18.000Z;0;0;7;0;1135881000;0;0;0;0;0;0;null;null;null;null
6-2;Start;;Lege Bestellposition an;2023-01-17T11:27:57.000Z;2023-01-17T11:27:57.000Z;0;0;1;0;0;0;;0;0;0;0;
6-2;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-17T11:27:57.000Z;2023-01-18T13:34:02.000Z;93965000;93965000;2;0;0;0;0;0;0;0;0;Michael Hoffmann;null;null;null
6-2;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Fordere Genehmigung Level 2 an;2023-01-18T13:34:02.000Z;2023-01-18T14:52:59.000Z;4737000;4737000;3;0;93965000;0;0;0;0;0;0;Andreas Wagner;null;null;null
6-2;Fordere Genehmigung Level 2 an;Fordere Genehmigung an;Erfasse Wareneingang;2023-01-18T14:52:59.000Z;2023-01-24T11:41:23.000Z;506904000;506904000;4;0;98702000;0;0;0;0;0;0;Klaus Meyer;null;null;null
6-2;Erfasse Wareneingang;Wareneingang erfasst;Erfasse Rechnung;2023-01-24T11:41:23.000Z;2023-01-30T14:59:18.000Z;530275000;530275000;5;0;605606000;0;0;0;0;0;0;Michael Becker;null;null;null
6-2;Erfasse Rechnung;;End;2023-01-30T14:59:18.000Z;2023-01-30T14:59:18.000Z;0;0;6;0;1135881000;0;0;0;0;0;0;null;null;null;null
7-1;Start;;Lege Bestellposition an;2023-01-19T12:48:01.000Z;2023-01-19T12:48:01.000Z;0;0;1;0;0;0;;0;0;0;0;
7-1;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-19T12:48:01.000Z;2023-01-20T13:14:35.000Z;87994000;87994000;2;0;0;0;0;0;0;0;0;Maria Wagner;null;null;null
7-1;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Erteile Genehmigung Level 2;2023-01-20T13:14:35.000Z;2023-01-23T13:25:38.000Z;259863000;259863000;3;0;87994000;0;0;0;0;0;0;Julia Schulz;null;null;null
7-1;Erteile Genehmigung Level 2;Erteile Genehmigung;End;2023-01-23T13:25:38.000Z;2023-01-23T13:25:38.000Z;0;0;4;0;347857000;0;0;0;0;0;0;Julia Hoffmann;null;null;null
7-2;Start;;Lege Bestellposition an;2023-01-19T12:48:01.000Z;2023-01-19T12:48:01.000Z;0;0;1;0;0;0;;0;0;0;0;
7-2;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-19T12:48:01.000Z;2023-01-20T13:14:35.000Z;87994000;87994000;2;0;0;0;0;0;0;0;0;Maria Wagner;null;null;null
7-2;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Erteile Genehmigung Level 2;2023-01-20T13:14:35.000Z;2023-01-23T13:25:38.000Z;259863000;259863000;3;0;87994000;0;0;0;0;0;0;Julia Schulz;null;null;null
7-2;Erteile Genehmigung Level 2;Erteile Genehmigung;End;2023-01-23T13:25:38.000Z;2023-01-23T13:25:38.000Z;0;0;4;0;347857000;0;0;0;0;0;0;Julia Hoffmann;null;null;null
7-3;Start;;Lege Bestellposition an;2023-01-19T12:48:01.000Z;2023-01-19T12:48:01.000Z;0;0;1;0;0;0;;0;0;0;0;
7-3;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-19T12:48:01.000Z;2023-01-20T13:14:35.000Z;87994000;87994000;2;0;0;0;0;0;0;0;0;Maria Wagner;null;null;null
7-3;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Erteile Genehmigung Level 2;2023-01-20T13:14:35.000Z;2023-01-23T13:25:38.000Z;259863000;259863000;3;0;87994000;0;0;0;0;0;0;Julia Schulz;null;null;null
7-3;Erteile Genehmigung Level 2;Erteile Genehmigung;Ändere Bestellposition: Menge;2023-01-23T13:25:38.000Z;2023-01-24T12:48:01.000Z;84143000;84143000;4;0;347857000;0;0;0;0;0;0;Julia Hoffmann;null;null;null
7-3;Ändere Bestellposition: Menge;Ändere Bestellposition;End;2023-01-24T12:48:01.000Z;2023-01-24T12:48:01.000Z;0;0;5;0;432000000;0;0;0;0;0;0;Anna Wagner;Quantity;48;44
7-4;Start;;Lege Bestellposition an;2023-01-19T12:48:01.000Z;2023-01-19T12:48:01.000Z;0;0;1;0;0;0;;0;0;0;0;
7-4;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-19T12:48:01.000Z;2023-01-20T13:14:35.000Z;87994000;87994000;2;0;0;0;0;0;0;0;0;Maria Wagner;null;null;null
7-4;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Erteile Genehmigung Level 2;2023-01-20T13:14:35.000Z;2023-01-23T13:25:38.000Z;259863000;259863000;3;0;87994000;0;0;0;0;0;0;Julia Schulz;null;null;null
7-4;Erteile Genehmigung Level 2;Erteile Genehmigung;End;2023-01-23T13:25:38.000Z;2023-01-23T13:25:38.000Z;0;0;4;0;347857000;0;0;0;0;0;0;Julia Hoffmann;null;null;null
8-1;Start;;Lege Bestellposition an;2023-01-23T13:24:49.000Z;2023-01-23T13:24:49.000Z;0;0;1;0;0;0;;0;0;0;0;
8-1;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-23T13:24:49.000Z;2023-01-23T14:07:39.000Z;2570000;2570000;2;0;0;0;0;0;0;0;0;Sandra Becker;null;null;null
8-1;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Lehne Genehmigung Level 2 ab;2023-01-23T14:07:39.000Z;2023-01-24T13:14:38.000Z;83219000;83219000;3;0;2570000;0;0;0;0;0;0;Peter Schmidt;null;null;null
8-1;Lehne Genehmigung Level 2 ab;Lehne Genehmigung ab;Erfasse Rechnung;2023-01-24T13:14:38.000Z;2023-02-06T09:00:54.000Z;1107976000;1107976000;4;0;85789000;0;0;0;0;0;0;Anna Wagner;null;null;null
8-1;Erfasse Rechnung;;End;2023-02-06T09:00:54.000Z;2023-02-06T09:00:54.000Z;0;0;5;0;1193765000;0;0;0;0;0;0;null;null;null;null
8-2;Start;;Lege Bestellposition an;2023-01-23T13:24:49.000Z;2023-01-23T13:24:49.000Z;0;0;1;0;0;0;;0;0;0;0;
8-2;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-23T13:24:49.000Z;2023-01-23T14:07:39.000Z;2570000;2570000;2;0;0;0;0;0;0;0;0;Sandra Becker;null;null;null
8-2;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Lehne Genehmigung Level 2 ab;2023-01-23T14:07:39.000Z;2023-01-24T13:14:38.000Z;83219000;83219000;3;0;2570000;0;0;0;0;0;0;Peter Schmidt;null;null;null
8-2;Lehne Genehmigung Level 2 ab;Lehne Genehmigung ab;Erfasse Rechnung;2023-01-24T13:14:38.000Z;2023-02-06T09:00:54.000Z;1107976000;1107976000;4;0;85789000;0;0;0;0;0;0;Anna Wagner;null;null;null
8-2;Erfasse Rechnung;;End;2023-02-06T09:00:54.000Z;2023-02-06T09:00:54.000Z;0;0;5;0;1193765000;0;0;0;0;0;0;null;null;null;null
8-3;Start;;Lege Bestellposition an;2023-01-23T13:24:49.000Z;2023-01-23T13:24:49.000Z;0;0;1;0;0;0;;0;0;0;0;
8-3;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-23T13:24:49.000Z;2023-01-23T14:07:39.000Z;2570000;2570000;2;0;0;0;0;0;0;0;0;Sandra Becker;null;null;null
8-3;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Lehne Genehmigung Level 2 ab;2023-01-23T14:07:39.000Z;2023-01-24T13:14:38.000Z;83219000;83219000;3;0;2570000;0;0;0;0;0;0;Peter Schmidt;null;null;null
8-3;Lehne Genehmigung Level 2 ab;Lehne Genehmigung ab;Erfasse Rechnung;2023-01-24T13:14:38.000Z;2023-02-06T09:00:54.000Z;1107976000;1107976000;4;0;85789000;0;0;0;0;0;0;Anna Wagner;null;null;null
8-3;Erfasse Rechnung;;End;2023-02-06T09:00:54.000Z;2023-02-06T09:00:54.000Z;0;0;5;0;1193765000;0;0;0;0;0;0;null;null;null;null
8-4;Start;;Lege Bestellposition an;2023-01-23T13:24:49.000Z;2023-01-23T13:24:49.000Z;0;0;1;0;0;0;;0;0;0;0;
8-4;Lege Bestellposition an;;Fordere Genehmigung Level 1 an;2023-01-23T13:24:49.000Z;2023-01-23T14:07:39.000Z;2570000;2570000;2;0;0;0;0;0;0;0;0;Sandra Becker;null;null;null
8-4;Fordere Genehmigung Level 1 an;Fordere Genehmigung an;Lehne Genehmigung Level 2 ab;2023-01-23T14:07:39.000Z;2023-01-24T13:14:38.000Z;83219000;83219000;3;0;2570000;0;0;0;0;0;0;Peter Schmidt;null;null;null
8-4;Lehne Genehmigung Level 2 ab;Lehne Genehmigung ab;Ändere Bestellposition: Material;2023-01-24T13:14:38.000Z;2023-01-27T13:24:49.000Z;259811000;259811000;4;0;85789000;0;0;0;0;0;0;Anna Wagner;null;null;null
8-4;Ändere Bestellposition: Material;Ändere Bestellposition;Erfasse Rechnung;2023-01-27T13:24:49.000Z;2023-02-06T09:00:54.000Z;848165000;848165000;5;0;345600000;0;0;0;0;0;0;Klaus Mueller;Material;6;106
8-4;Erfasse Rechnung;;End;2023-02-06T09:00:54.000Z;2023-02-06T09:00:54.000Z;0;0;6;0;1193765000;0;0;0;0;0;0;null;null;null;null
9-1;Start;;Lege Bestellposition an;2023-01-24T08:22:21.000Z;2023-01-24T08:22:21.000Z;0;0;1;0;0;0;;0;0;0;0;
9-1;Lege Bestellposition an;;Erteile Genehmigung Level 1;2023-01-24T08:22:21.000Z;2023-01-24T12:51:33.000Z;16152000;16152000;2;0;0;0;0;0;0;0;0;Andreas Weber;null;null;null
9-1;Erteile Genehmigung Level 1;Erteile Genehmigung;Erteile Genehmigung Level 2;2023-01-24T12:51:33.000Z;2023-01-25T10:16:10.000Z;77077000;77077000;3;0;16152000;0;0;0;0;0;0;Anna Wagner;null;null;null
9-1;Erteile Genehmigung Level 2;Erteile Genehmigung;Erteile Genehmigung Level 3;2023-01-25T10:16:10.000Z;2023-01-26T11:39:27.000Z;91397000;91397000;4;0;93229000;0;0;0;0;0;0;Anna Fischer;null;null;null
9-1;Erteile Genehmigung Level 3;Erteile Genehmigung;Erfasse Rechnung;2023-01-26T11:39:27.000Z;2023-02-06T11:42:02.000Z;950555000;950555000;5;0;184626000;0;0;0;0;0;0;Thomas Wagner;null;null;null
